"country","InstagramUsers_2024","InstagramUsers_PctFemale_2024","InstagramUsers_PctMale_2024","InstagramUsers2023"
"India",392465000,33.1,66.9,229600000
"United States",172606200,55.4,44.6,143400000
"Indonesia",90183200,54.2,45.8,89150000
"Pakistan",18593301,35.1,64.9,12950000
"Nigeria",12635900,46.5,53.5,7100000
"Brazil",141408300,58.3,41.7,113500
"Bangladesh",7196900,31.3,68.7,4450000
"Ethiopia",1105800,42.7,57.3,612300
"Mexico",48888900,54.9,45.1,36700000
"Japan",55453200,57.7,42.3,45700000
"Egypt",19404600,46.6,53.4,15350000
"Philippines",22161100,61.8,38.2,17550000
"DR Congo",731100,33.8,66.2,503700
"Vietnam",,,,10350000
"Turkey",58267500,47.1,52.9,48650000
"Germany",33803000,52.6,47.4,27450000
"Thailand",19086000,60.6,39.4,17350000
"United Kingdom",34709300,55,45,28750000
"Tanzania",3721200,40.6,59.4,2450000
"France",29213100,55.1,44.9,23750000
"South Africa",7298100,56.6,43.4,5650000
"Italy",30727000,54,46,26200000
"Kenya",3224000,49.5,50.5,2200000
"Myanmar",1418900,55.4,44.6,1400000
"Colombia",20852000,56.9,43.1,17750000
"South Korea",24223200,56,44,19250000
"Uganda",756400,42.6,57.4,447500
"Spain",27080600,55.3,44.7,21900000
"Algeria",11807400,46.1,53.9,8400000
"Iraq",19181500,39.7,60.3,14000000
"Argentina",28384600,57.3,42.7,23400000
"Afghanistan",1240400,21.1,78.9,552700
"Yemen",1737900,27.6,72.4,619200
"Canada",19710100,54.9,45.1,15900000
"Poland",12306700,60.2,39.8,10400000
"Morocco",12493300,47.5,52.5,8700000
"Angola",866900,45.4,54.6,506800
"Ukraine",12606700,63.4,36.6,11000000
"Uzbekistan",9427600,38.1,61.9,4200000
"Malaysia",15676300,55.6,44.4,13900000
"Mozambique",637800,48.7,51.3,394000
"Ghana",2313700,44.2,55.8,1700000
"Peru",10340500,53.5,46.5,8500000
"Saudi Arabia",16958600,42.2,57.8,12450000
"Madagascar",211100,53.2,46.8,140500
"Ivory Coast",1181200,37.6,62.4,919600
"Nepal",4143000,42.6,57.4,2150000
"Cameroon",643900,39.2,60.8,467900
"Venezuela",8950200,59.7,40.3,6100000
"Niger",89201,27.5,72.5,79300
"Australia",14294000,56.6,43.4,11650000
"Mali",248501,24.9,75.1,183200
"Burkina Faso",175701,24.9,75.1,133600
"Taiwan",11780000,56,44,10100000
"Sri Lanka",1837000,40.4,59.6,1400000
"Malawi",140000,41,59,95600
"Zambia",482400,46.8,53.2,349800
"Kazakhstan",12432500,58.6,41.4,10450000
"Chad",101600,19.2,80.8,61400
"Chile",13082800,55.8,44.2,10950000
"Romania",5784300,54.5,45.5,4900000
"Somalia",554600,47.3,52.7,449600
"Senegal",1337400,38.5,61.5,931500
"Guatemala",3471100,53.3,46.7,2850000
"Netherlands",8920900,56.2,43.8,7650000
"Ecuador",6720700,55.6,44.4,5750000
"Cambodia",1786600,55.1,44.9,1750000
"Zimbabwe",535900,43.2,56.8,381700
"Guinea",171900,28.7,71.3,139100
"Benin",218500,36.3,63.7,135500
"Rwanda",452800,39.2,60.8,264700
"Burundi",105300,39.3,60.7,63900
"Bolivia",2304800,52.8,47.2,1750000
"Tunisia",3458300,52.6,47.4,2750000
"South Sudan",58700,24.5,75.5,34400
"Haiti",601900,43.6,56.4,482200
"Belgium",5407400,55.1,44.9,4600000
"Jordan",4015600,49.4,50.6,2850000
"Dominican Republic",4898200,54.4,45.6,3900000
"United Arab Emirates",7613800,35.3,64.7,4950000
"Honduras",1934200,58.3,41.7,1500000
"Czech Republic",3949200,56.9,43.1,3350000
"Sweden",6159200,56.6,43.4,5700000
"Tajikistan",1568800,23.9,76.1,802800
"Papua New Guinea",91700,44.4,55.6,59000
"Portugal",6464900,55.4,44.6,5300000
"Azerbaijan",4279600,47.7,52.3,3250000
"Greece",4721800,53.5,46.5,4050000
"Hungary",2929100,55.8,44.2,2500000
"Togo",178900,30.5,69.5,123400
"Israel",4598000,56.2,43.8,3900000
"Austria",3682900,53.9,46.1,2900000
"Belarus",3912500,66.1,33.9,3400000
"Switzerland",4132000,51.8,48.2,3500000
"Sierra Leone",107300,45,55,85600
"Laos",584200,57.4,42.6,488900
"Turkmenistan",238001,54.8,45.2,163600
"Hong Kong",3755800,59.4,40.6,3300000
"Libya",2136100,43.1,56.9,1600000
"Kyrgyzstan",2928100,56.2,43.8,2300000
"Paraguay",2649900,55.8,44.2,2150000
"Nicaragua",1221100,57,43,912400
"Bulgaria",1949300,55.8,44.2,1650000
"Serbia",3312800,54.9,45.1,2750000
"El Salvador",1881600,54.7,45.3,1500000
"Republic of the Congo",160200,38.9,61.1,104700
"Denmark",2893800,58.5,41.5,2600000
"Singapore",3189800,55.4,44.6,2700000
"Lebanon",2700500,52,48,1950000
"Finland",2589200,58.6,41.4,2300000
"Liberia",114000,46,54,82500
"Norway",2892500,57.1,42.9,2750000
"Slovakia",1749600,55.3,44.7,1450000
"Palestine",,,,1650000
"Central African Republic",4000,27.5,72.5,7900
"Oman",2500100,39.4,60.6,1750000
"Ireland",2727800,58.3,41.7,2300000
"New Zealand",2528100,56.8,43.2,2150000
"Mauritania",148400,34.4,65.6,93700
"Costa Rica",2555800,54.3,45.7,2050000
"Kuwait",2960400,41,59,2050000
"Panama",2678900,52.7,47.3,2200000
"Croatia",1536800,56.1,43.9,1350000
"Georgia",1779700,58.4,41.6,1300000
"Eritrea",9500,37.9,62.1,2750
"Mongolia",1030700,60.4,39.6,774600
"Uruguay",2321800,57.4,42.6,1850000
"Puerto Rico",1644500,56.5,43.5,1200000
"Bosnia and Herzegovina",1170100,54.1,45.9,1200000
"Qatar",1736500,35.1,64.9,1100000
"Moldova",1048000,62.5,37.5,876900
"Namibia",426300,53.9,46.1,317400
"Armenia",1366600,56.7,43.3,1010000
"Lithuania",1018500,60.6,39.4,814200
"Jamaica",1163000,55.6,44.4,914900
"Albania",1249100,48.1,51.9,1030000
"Gambia",175700,33.2,66.8,118200
"Gabon",136300,46.3,53.7,104600
"Botswana",210000,54.1,45.9,165000
"Lesotho",38201,57.3,42.7,33100
"Guinea-Bissau",,,,29700
"Slovenia",736200,53.2,46.8,621000
"Equatorial Guinea",52500,40.2,59.8,32800
"Latvia",729400,61.8,38.2,612800
"North Macedonia",852500,51.5,48.5,711500
"Bahrain",1131600,41.1,58.9,879800
"Trinidad and Tobago",694400,55.5,44.5,631000
"Timor-Leste",,,,66100
"Estonia",527600,60.5,39.5,476500
"Cyprus",913200,51.6,48.4,722900
"Mauritius",403600,51.4,48.6,326700
"Eswatini",64200,57.3,42.7,53300
"Djibouti",,,,16800
"Fiji",223100,54,46,161800
"Reunion",283200,54.4,45.6,227500
"Comoros",27001,31.9,68.1,21000
"Guyana",176100,56.3,43.7,134200
"Solomon Islands",12000,55.8,44.2,6000
"Bhutan",146200,53.3,46.7,132400
"Macau",242800,56.8,43.2,194200
"Luxembourg",304800,53.2,46.8,241400
"Montenegro",421100,53.7,46.3,350900
"Suriname",131700,50.9,49.1,118100
"Western Sahara",,,,155600
"Malta",276200,49,51,219700
"Maldives",280400,42.4,57.6,198600
"Cape Verde",131200,51.4,48.6,101300
"Brunei",305700,54.7,45.3,319900
"Belize",128600,54.1,45.9,98800
"Bahamas",127700,56.4,43.6,128000
"Iceland",223300,55.8,44.2,199100
"Guadeloupe",173200,56.6,43.4,141600
"Martinique",166300,56.2,43.8,128000
"Vanuatu",8000,60,40,5350
"Mayotte",48100,49.3,50.7,40400
"French Guiana",94900,54,46,76300
"New Caledonia",74800,55.2,44.8,61300
"Barbados",188700,56.2,43.8,148300
"French Polynesia",64300,55.5,44.5,55300
"Sao Tome and Principe",6300,44.4,55.6,7250
"Samoa",31400,58.3,41.7,18300
"Curacao",67900,57.4,42.6,53100
"Saint Lucia",65400,55.8,44.2,56700
"Guam",98600,55.6,44.4,82300
"Kiribati",,,,1100
"Seychelles",37200,46.2,53.8,25300
"Grenada",48900,52.6,47.4,41100
"Micronesia",4700,63.8,36.2,5650
"Aruba",63000,55.6,44.4,51400
"Tonga",13800,60.9,39.1,9600
"Jersey",41900,57,43,41500
"Saint Vincent and the Grenadines",47500,54.1,45.9,47200
"Antigua and Barbuda",40500,54.1,45.9,37100
"United States Virgin Islands",22000,57.3,42.7,14500
"Isle of Man",31300,55.6,44.4,31700
"Andorra",52500,53.5,46.5,37500
"Cayman Islands",50000,52.6,47.4,38600
"Dominica",20400,51.5,48.5,18300
"Bermuda",32600,55.5,44.5,29000
"Guernsey",,,,23300
"Greenland",19000,46.8,53.2,18200
"Faroe Islands",21500,54.4,45.6,24100
"Saint Kitts and Nevis",23700,54.9,45.1,21800
"American Samoa",10000,57,43,11000
"Turks and Caicos Islands",20600,50.5,49.5,17200
"Northern Mariana Islands",14700,58.5,41.5,16000
"Sint Maarten",17400,54.6,45.4,15000
"Liechtenstein",5300,54.7,45.3,9150
"British Virgin Islands",11200,52.7,47.3,10600
"Gibraltar",15900,53.5,46.5,16800
"Monaco",11200,56.3,43.8,9550
"Marshall Islands",,,,2850
"San Marino",,,,8500
"Saint Martin",6100,52.5,47.5,8050
"Palau",,,,4800
"Anguilla",2600,53.8,46.2,5850
"Cook Islands",,,,3800
"Nauru",,,,1600
"Wallis and Futuna",,,,1050
"Saint Barthelemy",,,,1750
"Tuvalu",,,,700
"Saint Pierre and Miquelon",,,,1650
"Montserrat",,,,1300
"Falkland Islands",,,,1100
"Tokelau",,,,100
"Niue",,,,450